new_ph_name,net_amtc,store,dept,work_date,type_yr
01 Luxuries,70655,02 Store B,Dept 1,2014/03/26,Last Year
01 Luxuries,93868,02 Store B,Dept 1,2014/03/27,Last Year
01 Luxuries,172902,02 Store B,Dept 1,2014/03/28,Last Year
01 Luxuries,72998,02 Store B,Dept 1,2014/03/29,Last Year
01 Luxuries,381942,02 Store B,Dept 1,2014/03/30,Last Year
01 Luxuries,96041,02 Store B,Dept 1,2014/03/31,Last Year
01 Luxuries,-72871,02 Store B,Dept 1,2014/04/01,Last Year
01 Luxuries,53501,02 Store B,Dept 1,2014/04/02,Last Year
01 Luxuries,136331,02 Store B,Dept 1,2014/04/03,Last Year
01 Luxuries,84479,02 Store B,Dept 1,2014/04/04,Last Year
01 Luxuries,73742,02 Store B,Dept 1,2014/04/05,Last Year
01 Luxuries,83019,02 Store B,Dept 1,2014/04/06,Last Year
01 Luxuries,108031,02 Store B,Dept 1,2014/04/07,Last Year
01 Luxuries,-44315,02 Store B,Dept 1,2014/04/08,Last Year
01 Luxuries,75968,02 Store B,Dept 1,2014/04/09,Last Year
01 Luxuries,190642,02 Store B,Dept 1,2014/04/10,Last Year
01 Luxuries,224791,02 Store B,Dept 1,2014/04/11,Last Year
01 Luxuries,182296,02 Store B,Dept 1,2014/04/12,Last Year
01 Luxuries,114389,02 Store B,Dept 1,2014/04/13,Last Year
01 Luxuries,31145,02 Store B,Dept 1,2014/04/14,Last Year
01 Luxuries,49096,02 Store B,Dept 1,2014/04/15,Last Year
01 Luxuries,94365,02 Store B,Dept 1,2014/04/16,Last Year
01 Luxuries,39570,02 Store B,Dept 1,2014/04/17,Last Year
01 Luxuries,94378,02 Store B,Dept 1,2014/04/18,Last Year
01 Luxuries,114095,02 Store B,Dept 1,2014/04/19,Last Year
01 Luxuries,114335,02 Store B,Dept 1,2014/04/20,Last Year
01 Luxuries,198540,02 Store B,Dept 1,2014/04/21,Last Year
01 Luxuries,57828,02 Store B,Dept 1,2014/04/22,Last Year
01 Luxuries,95288,02 Store B,Dept 1,2014/04/23,Last Year
01 Luxuries,152462,02 Store B,Dept 1,2014/04/24,Last Year
01 Luxuries,160229,02 Store B,Dept 1,2014/04/25,Last Year
01 Luxuries,95961,02 Store B,Dept 1,2014/04/26,Last Year
01 Luxuries,50963,02 Store B,Dept 1,2014/04/27,Last Year
01 Luxuries,96188,02 Store B,Dept 1,2014/04/28,Last Year
01 Luxuries,124084,02 Store B,Dept 1,2014/04/29,Last Year
01 Luxuries,72557,02 Store B,Dept 1,2014/04/30,Last Year
01 Luxuries,67369,02 Store B,Dept 1,2014/05/01,Last Year
